,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,496.56,495.21,495.21,499.34,503.06,497.42,498.28,498.28,500.95,504.36,502.9,502.9,502.9,500.57,502.73,502.73,502.46,501.77,501.77,499.73,503.18,503.18,499.84,499.84,499.84,501.56,500.67,499.22,501.44,501.44,500.98,500.74,500.74,500.74,501.26,501.26,501.26,501.26,501.18,500.7,501.22,501.22,500.82,500.82,500.82,500.4,500.4,500.4
1,-511.77,-504.61,-504.61,-509.16,-513.71,-506.66,-508.08,-508.08,-510.59,-513.5,-512.73,-512.73,-512.73,-510.19,-512.39,-512.39,-512.2,-511.6,-511.6,-509.33,-512.62,-512.62,-509.66,-509.66,-509.66,-511.44,-510.38,-509.15,-511.18,-511.18,-510.69,-510.54,-510.54,-510.54,-510.98,-510.98,-510.98,-510.98,-510.98,-510.39,-510.97,-510.97,-510.58,-510.58,-510.58,-510.21,-510.21,-510.21
2,-50.747,-51.99,-51.99,-52.327,-51.427,-52.846,-52.06,-52.06,-52.298,-52.87,-52.246,-52.246,-52.246,-52.46,-52.383,-52.383,-52.3,-52.238,-52.238,-52.302,-52.532,-52.532,-52.243,-52.243,-52.243,-52.168,-52.293,-52.145,-52.297,-52.297,-52.3,-52.243,-52.243,-52.243,-52.271,-52.271,-52.271,-52.271,-52.206,-52.279,-52.248,-52.248,-52.249,-52.249,-52.249,-52.222,-52.222,-52.222
3,-4.7297,-4.7631,-4.7631,-4.2849,-4.192,-4.3424,-4.5169,-4.5169,-4.4718,-4.3981,-4.3211,-4.3211,-4.3211,-4.3178,-4.3568,-4.3568,-4.3583,-4.3252,-4.3252,-4.4891,-4.4161,-4.4161,-4.3398,-4.3398,-4.3398,-4.3487,-4.403,-4.324,-4.3573,-4.3573,-4.375,-4.3606,-4.3606,-4.3606,-4.4034,-4.4034,-4.4034,-4.4034,-4.3818,-4.4202,-4.3898,-4.3898,-4.3877,-4.3877,-4.3877,-4.3675,-4.3675,-4.3675
4,-0.34664,-0.3728,-0.3728,-0.29508,-0.28322,-0.28295,-0.29838,-0.29838,-0.2663,-0.28656,-0.28837,-0.28837,-0.28837,-0.27697,-0.27419,-0.27419,-0.27158,-0.28122,-0.28122,-0.2852,-0.28266,-0.28266,-0.27959,-0.27959,-0.27959,-0.28098,-0.2784,-0.27557,-0.28249,-0.28249,-0.28663,-0.27785,-0.27785,-0.27785,-0.28291,-0.28291,-0.28291,-0.28291,-0.28406,-0.28901,-0.28464,-0.28464,-0.28241,-0.28241,-0.28241,-0.28172,-0.28172,-0.28172
5,1.7192,1.7424,1.7424,1.8277,1.7855,1.7611,1.7576,1.7576,1.7603,1.7801,1.7695,1.7695,1.7695,1.7712,1.7691,1.7691,1.7703,1.7706,1.7706,1.7701,1.7703,1.7703,1.7702,1.7702,1.7702,1.7701,1.7701,1.7703,1.7702,1.7702,1.7703,1.7701,1.7701,1.7701,1.7702,1.7702,1.7702,1.7702,1.77,1.7701,1.7701,1.7701,1.7702,1.7702,1.7702,1.7701,1.7701,1.7701
6,0.35903,0.45798,0.45798,0.48941,0.45379,0.44752,0.46173,0.46173,0.46085,0.4624,0.45483,0.45483,0.45483,0.46033,0.45995,0.45995,0.46101,0.4589,0.4589,0.45799,0.45841,0.45841,0.45882,0.45882,0.45882,0.45879,0.45901,0.4577,0.45934,0.45934,0.45709,0.45865,0.45865,0.45865,0.45822,0.45822,0.45822,0.45822,0.45919,0.45784,0.45831,0.45831,0.45776,0.45776,0.45776,0.4585,0.4585,0.4585
7,-0.26596,-0.05696,-0.05696,-0.67967,-0.31966,-0.7841,-0.82725,-0.82725,-0.59342,-0.39502,-0.55225,-0.55225,-0.55225,-0.74139,-0.90859,-0.90859,-0.8108,-1.0167,-1.0167,-0.86383,-0.87162,-0.87162,-0.94453,-0.94453,-0.94453,-0.93088,-0.93723,-0.8525,-0.88214,-0.88214,-0.80105,-0.91997,-0.91997,-0.91997,-0.90133,-0.90133,-0.90133,-0.90133,-0.90849,-0.87369,-0.89943,-0.89943,-0.8442,-0.8442,-0.8442,-0.91518,-0.91518,-0.91518
8,-0.012359,-0.13704,-0.13704,0.60614,0.26259,0.75421,0.78913,0.78913,0.56921,0.34188,0.53004,0.53004,0.53004,0.70654,0.88095,0.88095,0.78632,0.99007,0.99007,0.83935,0.84887,0.84887,0.92008,0.92008,0.92008,0.90532,0.91076,0.82978,0.85563,0.85563,0.77884,0.89441,0.89441,0.89441,0.87756,0.87756,0.87756,0.87756,0.88056,0.85064,0.87504,0.87504,0.82122,0.82122,0.82122,0.8908,0.8908,0.8908
9,0.17588,0.073649,0.073649,-0.033123,-0.041702,-0.1841,-0.17009,-0.17009,-0.15198,-0.15916,-0.18775,-0.18775,-0.18775,-0.15856,-0.20879,-0.20879,-0.046288,-0.15352,-0.15352,-0.17176,-0.26477,-0.26477,-0.23709,-0.23709,-0.23709,-0.24951,-0.16721,-0.21435,-0.21315,-0.21315,-0.17115,-0.23463,-0.23463,-0.23463,-0.25087,-0.25087,-0.25087,-0.25087,-0.17533,-0.21463,-0.17048,-0.17048,-0.1639,-0.1639,-0.1639,-0.21307,-0.21307,-0.21307
10,-0.097147,0.092289,0.092289,-0.18578,-1.251,-0.074795,-0.3209,-0.3209,0.14537,-0.42899,0.098203,0.098203,0.098203,0.053704,-0.26682,-0.26682,-0.030484,0.11746,0.11746,-0.010363,-0.061711,-0.061711,-0.13348,-0.13348,-0.13348,-0.18276,0.13727,-0.16046,-0.19688,-0.19688,0.14886,-0.2102,-0.2102,-0.2102,-0.11234,-0.11234,-0.11234,-0.11234,-0.069989,-0.15198,0.13691,0.13691,0.11952,0.11952,0.11952,-0.19264,-0.19264,-0.19264
11,0.16535,-0.013064,-0.013064,0.24414,1.3266,0.26499,0.5022,0.5022,-0.05057,0.61349,0.081689,0.081689,0.081689,0.11247,0.47333,0.47333,0.074063,0.026016,0.026016,0.17661,0.32411,0.32411,0.36857,0.36857,0.36857,0.43261,0.020999,0.37059,0.41132,0.41132,0.0037383,0.4435,0.4435,0.4435,0.36031,0.36031,0.36031,0.36031,0.2457,0.36172,0.019549,0.019549,0.028335,0.028335,0.028335,0.40245,0.40245,0.40245
12,0.018636,0.015422,0.015422,0.016474,0.0094675,0.00013725,0.0005721,0.0005721,0.063468,0.0043186,0.011072,0.011072,0.011072,0.0030373,0.0073874,0.0073874,0.0041397,0.012695,0.012695,0.0077494,0.0022861,0.0022861,0.0034657,0.0034657,0.0034657,0.001253,0.012374,0.0047742,0.0010847,0.0010847,0.019049,0.003564,0.003564,0.003564,0.0036659,0.0036659,0.0036659,0.0036659,0.0039011,0.005465,0.015718,0.015718,0.01687,0.01687,0.01687,0.0046197,0.0046197,0.0046197
13,0.020757,0.00065709,0.00065709,0.0066248,-0.0011938,0.00024439,0.00035908,0.00035908,0.0006324,-0.0002209,0.0006061,0.0006061,0.0006061,9.4111e-05,0.00035478,0.00035478,0.00097573,0.00077906,0.00077906,0.00051067,0.00044502,0.00044502,0.00078273,0.00078273,0.00078273,0.00018576,0.00061059,0.00058987,0.00038326,0.00038326,0.00078616,0.00058977,0.00058977,0.00058977,0.00073262,0.00073262,0.00073262,0.00073262,0.00077507,0.00083345,0.00069757,0.00069757,0.00076939,0.00076939,0.00076939,0.00080595,0.00080595,0.00080595
14,0.004524,4.5013e-05,4.5013e-05,0.0036843,0.0060371,0.00050831,0.0011466,0.0011466,-0.00016912,0.0013669,-5.854e-05,-5.854e-05,-5.854e-05,0.00073964,0.0006919,0.0006919,-9.9385e-05,-0.00012697,-0.00012697,0.00015442,0.00069699,0.00069699,0.00014074,0.00014074,0.00014074,0.0015618,-9.0048e-05,0.00027848,0.00092521,0.00092521,-0.00012266,0.00048813,0.00048813,0.00048813,0.00021765,0.00021765,0.00021765,0.00021765,-0.00011253,-6.5347e-05,5.6276e-05,5.6276e-05,5.9486e-05,5.9486e-05,5.9486e-05,2.033e-05,2.033e-05,2.033e-05
15,6.4019e-05,9.4421e-05,9.4421e-05,0.00021048,2.9116e-06,2.2129e-05,2.8053e-05,2.8053e-05,0.00011611,5.9444e-05,9.4249e-05,9.4249e-05,9.4249e-05,4.2825e-05,0.00014131,0.00014131,7.2677e-05,0.00029629,0.00029629,0.00023281,4.2133e-05,4.2133e-05,0.00016329,0.00016329,0.00016329,-9.7417e-06,0.00024354,0.00014432,2.0223e-05,2.0223e-05,0.00017224,8.9431e-05,8.9431e-05,8.9431e-05,0.00014224,0.00014224,0.00014224,0.00014224,0.00017265,0.00022238,-8.0014e-05,-8.0014e-05,-9.3513e-05,-9.3513e-05,-9.3513e-05,0.00020708,0.00020708,0.00020708
16,0.0004725,3.4646e-05,3.4646e-05,3.1485e-05,0.00011532,1.4465e-05,1.7951e-05,1.7951e-05,0.00010205,2.6102e-05,0.0001128,0.0001128,0.0001128,2.375e-05,4.1211e-05,4.1211e-05,3.4609e-05,4.852e-05,4.852e-05,4.228e-05,2.6293e-05,2.6293e-05,2.7752e-05,2.7752e-05,2.7752e-05,2.7635e-05,4.2508e-05,3.6134e-05,2.8921e-05,2.8921e-05,6.4361e-05,2.9665e-05,2.9665e-05,2.9665e-05,3.0421e-05,3.0421e-05,3.0421e-05,3.0421e-05,4.2442e-05,3.3559e-05,0.00012472,0.00012472,0.00014309,0.00014309,0.00014309,3.3729e-05,3.3729e-05,3.3729e-05
17,2.8333e-05,2.1437e-06,2.1437e-06,5.3065e-05,2.1315e-05,1.2844e-05,1.7797e-05,1.7797e-05,8.1325e-06,1.6989e-05,5.4475e-06,5.4475e-06,5.4475e-06,1.1423e-05,1.1765e-05,1.1765e-05,9.5505e-06,1.0152e-05,1.0152e-05,9.5431e-06,1.2854e-05,1.2854e-05,1.3274e-05,1.3274e-05,1.3274e-05,1.4724e-05,9.6531e-06,1.0962e-05,1.342e-05,1.342e-05,9.5867e-06,1.3698e-05,1.3698e-05,1.3698e-05,1.261e-05,1.261e-05,1.261e-05,1.261e-05,1.1137e-05,1.0625e-05,9.7906e-06,9.7906e-06,1.0376e-05,1.0376e-05,1.0376e-05,1.1623e-05,1.1623e-05,1.1623e-05
18,3.3269e-05,,,5.558e-06,1.7918e-05,4.2615e-07,1.0498e-06,1.0498e-06,,1.0565e-06,,,,1.4127e-07,6.2453e-06,6.2453e-06,,7.8418e-07,7.8418e-07,,2.6542e-07,2.6542e-07,2.3628e-06,2.3628e-06,2.3628e-06,8.7156e-07,,3.3934e-06,-8.5058e-08,-8.5058e-08,,1.9484e-06,1.9484e-06,1.9484e-06,1.5441e-06,1.5441e-06,1.5441e-06,1.5441e-06,7.9286e-07,3.3201e-06,,,1.9781e-07,1.9781e-07,1.9781e-07,2.7224e-06,2.7224e-06,2.7224e-06
19,-1.6439e-06,,,,1.8971e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
